timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1597411158374,279,open_site-1,200,Ok,BuyTickets Group 1-1,true,,1016,1,1,279,1,0,DESKTOP-D16P3PG
1597411158658,225,open_site-2,200,Ok,BuyTickets Group 1-1,true,,2995,1,1,225,1,0,DESKTOP-D16P3PG
1597411158274,504,Open_site,200,"Number of samples in transaction : 2, number of failing samples : 0",BuyTickets Group 1-1,true,,4011,1,1,504,1,0,DESKTOP-D16P3PG
1597411158887,236,login-1,200,Ok,BuyTickets Group 1-1,true,,830,1,1,236,1,0,DESKTOP-D16P3PG
1597411159125,226,login-2,200,Ok,BuyTickets Group 1-1,true,,1143,1,1,226,1,0,DESKTOP-D16P3PG
1597411159352,228,login-3,200,Ok,BuyTickets Group 1-1,true,,1729,1,1,228,1,0,DESKTOP-D16P3PG
1597411158886,690,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",BuyTickets Group 1-1,true,,3702,1,1,690,1,0,DESKTOP-D16P3PG
1597411159582,217,flightst_click-1,200,Ok,BuyTickets Group 1-1,true,,735,1,1,217,1,0,DESKTOP-D16P3PG
1597411159801,229,flightst_click-2,200,Ok,BuyTickets Group 1-1,true,,1729,1,1,228,1,0,DESKTOP-D16P3PG
1597411160031,225,flightst_click-3,200,Ok,BuyTickets Group 1-1,true,,4435,1,1,224,1,0,DESKTOP-D16P3PG
1597411159581,671,Flightst_click,200,"Number of samples in transaction : 3, number of failing samples : 0",BuyTickets Group 1-1,true,,6899,1,1,669,1,0,DESKTOP-D16P3PG
1597411160267,236,Continue_click-1,200,Ok,BuyTickets Group 1-1,true,,2608,1,1,236,1,0,DESKTOP-D16P3PG
1597411160267,236,Continue_click,200,"Number of samples in transaction : 1, number of failing samples : 0",BuyTickets Group 1-1,true,,2608,1,1,236,1,0,DESKTOP-D16P3PG
1597411160505,231,Choose_flight-1,200,Ok,BuyTickets Group 1-1,true,,3033,1,1,231,1,0,DESKTOP-D16P3PG
1597411160504,231,Choose_flight,200,"Number of samples in transaction : 1, number of failing samples : 0",BuyTickets Group 1-1,true,,3033,1,1,231,1,0,DESKTOP-D16P3PG
1597411160788,233,Insert_payment_details-1,200,Ok,BuyTickets Group 1-1,true,,2830,1,1,233,1,0,DESKTOP-D16P3PG
1597411160787,233,Insert_payment_details,200,"Number of samples in transaction : 1, number of failing samples : 0",BuyTickets Group 1-1,true,,2830,1,1,233,1,0,DESKTOP-D16P3PG
1597411161022,224,logout-1,200,Ok,BuyTickets Group 1-1,true,,1016,1,1,224,1,0,DESKTOP-D16P3PG
1597411161248,425,logout-2,200,Ok,BuyTickets Group 1-1,true,,3001,1,1,425,1,0,DESKTOP-D16P3PG
1597411161022,649,Logout,200,"Number of samples in transaction : 2, number of failing samples : 0",BuyTickets Group 1-1,true,,4017,1,1,649,1,0,DESKTOP-D16P3PG
1597411161685,217,open_site-1,200,Ok,BuyTickets Group 1-1,true,,1016,1,1,217,1,0,DESKTOP-D16P3PG
1597411161903,229,open_site-2,200,Ok,BuyTickets Group 1-1,true,,3001,1,1,229,1,0,DESKTOP-D16P3PG
1597411161675,446,Open_site,200,"Number of samples in transaction : 2, number of failing samples : 0",BuyTickets Group 1-1,true,,4017,1,1,446,1,0,DESKTOP-D16P3PG
1597411162133,233,login-1,200,Ok,BuyTickets Group 1-1,true,,832,1,1,232,1,0,DESKTOP-D16P3PG
1597411162367,433,login-2,200,Ok,BuyTickets Group 1-1,true,,1143,1,1,433,1,0,DESKTOP-D16P3PG
1597411162801,225,login-3,200,Ok,BuyTickets Group 1-1,true,,1729,1,1,225,1,0,DESKTOP-D16P3PG
1597411162132,891,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",BuyTickets Group 1-1,true,,3704,1,1,890,1,0,DESKTOP-D16P3PG
1597411163027,216,flightst_click-1,200,Ok,BuyTickets Group 1-1,true,,735,1,1,216,1,0,DESKTOP-D16P3PG
1597411163244,231,flightst_click-2,200,Ok,BuyTickets Group 1-1,true,,1729,1,1,231,1,0,DESKTOP-D16P3PG
1597411163475,232,flightst_click-3,200,Ok,BuyTickets Group 1-1,true,,4435,1,1,232,1,0,DESKTOP-D16P3PG
1597411163027,679,Flightst_click,200,"Number of samples in transaction : 3, number of failing samples : 0",BuyTickets Group 1-1,true,,6899,1,1,679,1,0,DESKTOP-D16P3PG
