timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596980908289,1790546,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980908289,19845,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980909290,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980909290,1790628,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980909290,16712,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980910290,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980910290,1788187,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980910290,18375,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980911290,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980911292,1787347,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980911292,25173,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980912293,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980912293,1787734,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980912293,25800,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980913293,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980913293,1787980,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980913293,21692,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980914294,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980914294,1787894,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980914294,20198,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980915294,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980915294,1788265,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980915294,25186,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980916295,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980916296,1790234,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980916296,24128,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980917296,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980917296,1789871,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980917296,25930,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980918297,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980918297,1789773,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980918297,15234,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980919297,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980919315,1789250,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980919315,23918,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980920315,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980920315,1787730,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980920315,21475,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980921316,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980921337,1790164,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980921337,23735,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980922338,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980922357,1791207,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980922357,25852,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980923357,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980923363,1791503,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980923363,18715,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980924363,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980924367,1791632,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
1596980924367,25204,localhost CPU combined,,,,,true,,0,0,0,0,null,0,0,0
1596980925368,0,localhost Disks I/O queue,,,,,true,,0,0,0,0,null,0,0,0
1596980925368,1791781,localhost Memory unit=mb:free,,,,,true,,0,0,0,0,null,0,0,0
